emolt_site.SITE, emolt_site.LAT_DDMM, emolt_site.LON_DDMM
"PM07", 4208.0, 7039.0
"NL05", 4439.27, 6711.29
"AP04", 4345.59, 6937.62
"AP05", 4343.26, 6937.22
"SO05", 4128.31, 7121.02
"TA37", 4007.95, 6920.25
"TA38", 4014.8, 6923.0
"MP06", 4210.17, 7034.3
"CP02", 4349.45, 6855.57
"MDCK", 4112.73, 7303.0
"GE01", 4216.7, 7046.8
"GE02", 4216.9, 7046.1
"GE03", 4218.1, 7043.3
"JP20", 3935.13, 7226.2
"JP21", 3934.85, 7211.75
"MJ13", 4047.25, 6904.23
"MJ14", 4107.88, 6900.81
"MD03", 4422.84, 6849.59
"MJ15", 4046.59, 6903.83
"TA40", 4010.0, 6854.0
"TA39", 4008.2, 6850.5
"TA41", 4011.6, 6852.0
"TA42", 4011.4, 6856.0
"TA43", 4014.8, 6853.5
"TA44", 4051.5, 6844.0
"TA45", 4047.5, 6842.5
"TA46", 4022.5, 6849.5
"KM04", 4141.23, 6949.13
"KM05", 4142.18, 6947.12
"JP22", 3933.73, 7228.63
"IC01", 4511.26, 6113.33
"JP12", 4015.18, 7139.87
"JP16", 3946.5, 7259.4
"JP18", 4027.8, 6714.0
"JS01", 4333.9, 6751.1
"JS05", 4211.3, 6713.9
"JT04", 4346.3, 6840.2
"MD01", 4423.5, 6857.2
"MJ01", 4011.1, 6827.0
"MJ04", 4009.6, 6825.2
"MJ06", 4028.9, 6825.3
"MJ09", 3956.4, 6932.8
"MJ11", 4011.4, 6820.2
"MW01", 4340.6, 6955.4
"NL06", 4438.35, 6714.63
"OM01", 4349.69, 6858.08
"OS03", 4352.79, 6918.66
"PB01", 3954.9, 6946.7
"PB04", 3956.71, 6952.0
"PB06", 4001.1, 6932.52
"PM02", 4209.0, 7035.0
"PM04", 4210.0, 7032.0
"RB02", 4424.38, 6720.1
"RM05", 4154.8, 7010.6
"RS01", 4401.0, 6832.8
"SO01", 4123.46, 7127.59
"SO04", 4046.04, 7050.63
"SO07", 4054.09, 7119.43
"SR01", 4220.2, 7053.0
"SR06", 4219.26, 7054.08
"SR08", 4219.21, 7054.38
"SS01", 4358.0, 6439.5
"ST02", 4340.04, 7005.11
"TA12", 4000.56, 6913.55
"TA14", 4005.35, 6851.7
"TA17", 4023.51, 6915.0
"SB01", 4210.93, 7013.47
"ES01", 4621.49, 6023.81
"OD04", 4427.81, 6730.98
"MJ16", 4008.51, 6901.33
"MF03", 4413.2, 6803.03
"RR02", 4428.4, 6351.23
"TA19", 3959.5, 6916.5
"TA22", 4020.5, 7017.0
"TA24", 4006.0, 6851.8
"TA27", 4007.85, 6905.55
"TA29", 4005.0, 6906.0
"TA31", 4002.0, 6907.0
"TA33", 4016.0, 7001.0
"TA35", 4012.22, 6848.5
"WB07", 4053.4, 6633.4
"WD01", 4400.1, 6852.8
"WD02", 4401.71, 6852.73
"BA01", 4437.62, 6702.88
"BA03", 4435.97, 6702.43
"BC01", 4429.5, 6711.5
"DK01", 4155.41, 7019.86
"DS01", 3959.34, 6936.73
"JM01", 4402.2, 6807.45
"JM02", 4401.6, 6809.7
"KM02", 4141.07, 6948.35
"MB01", 4219.3, 7045.9
"MM01", 4112.5, 7114.1
"MW02", 4340.2, 6954.7
"NL02", 4440.68, 6657.23
"RM03", 4206.25, 7017.35
"TS01", 4229.8, 7047.34
"TS02", 4230.7, 7048.0
"WB11", 4105.6, 6622.0
"WB14", 4101.56, 6625.09
"OC02", 4027.0, 6957.0
"CG01", 4200.4, 7011.6
"JK01", 4115.58, 7248.73
"GR01", 4402.93, 6838.55
"GR02", 4405.33, 6837.27
"NF01", 4050.8, 6848.5
"NF07", 4052.0, 6911.0
"OC03", 4022.0, 7018.0
"NF08", 4219.7, 6554.4
"NF09", 4219.7, 6554.4
"NF10", 4219.7, 6554.4
"NF02", 4050.7, 6847.8
"NF03", 4050.8, 6901.0
"NF04", 4049.0, 6900.0
"NF05", 4051.24, 6901.17
"NF06", 4052.0, 6911.0
"NF11", 4216.8, 6557.0
"OC01", 4024.38, 7002.33
"BT01", 4345.87, 7005.86
"BT02", 4346.8, 7006.75
"CJ02", 4422.4, 6809.7
"DM03", 4357.28, 6910.2
"TA26", 4005.1, 6905.0
"TA28", 4003.15, 6907.0
"TA30", 4022.5, 6916.5
"TA32", 4003.2, 6858.5
"DD01", 4131.4, 7138.9
"MP05", 4211.36, 7026.16
"V079", 4216.38, 7045.38
"V048", 4221.13, 7044.63
"LC01", 4345.21, 6919.64
"RR01", 4428.07, 6351.32
"TA34", 4022.75, 6958.0
"PM05", 4211.0, 7039.0
"PM06", 4211.0, 7035.0
"BH03", 4220.4, 7054.7
"MD02", 4428.21, 6854.16
"MW03", 4347.88, 6952.62
"MG02", 4100.94, 6625.84
"EL01", 4347.66, 6955.66
"EL02", 4347.66, 6955.66
"SF01", 4342.8, 7001.43
"MF02", 4419.4, 6806.9
"JD01", 4401.66, 6851.33
"OL01", 4429.71, 6721.58
"RP01", 4303.9, 7036.6
"BT03", 4339.08, 7013.42
"KM01", 4140.58, 6954.13
"OD01", 4439.3, 6710.1
"OD02", 4434.9, 6722.8
"OS01", 4349.91, 6859.67
"OS02", 4356.81, 6903.69
"ST01", 4327.79, 7013.83
"ST03", 4342.91, 7008.3
"MB03", 4218.32, 7044.92
"DMF2", 4156.79, 7029.34
"DMF6", 4126.79, 7059.35
"DMF1", 4223.72, 7051.83
"DMF4", 4154.16, 7030.8
"DMF5", 4157.53, 7035.06
"DMF7", 4126.79, 7059.35
"MC01", 4227.6, 7026.6
"MLFD", 4112.6, 7303.0
"NARR", 4129.4, 7125.2
"JT02", 4345.0, 6841.0
"SK01", 4206.0, 7026.0
"MT01", 4237.5, 7034.3
"WHAQ", 4132.5, 7040.4
"BBHR", 4350.66, 6938.5
"NEU1", 4116.5, 7209.0
"NEU2", 4103.6, 7320.3
"NB05", 4253.5, 6856.33
"NB07", 4339.9, 7008.6
"MT02", 4237.5, 7033.5
"MT03", 4238.1, 7033.0
"SR02", 4220.7, 7051.9
"MDRL", 4358.1, 6807.8
"WHLS", 4131.0, 7040.0
"BOST", 4221.25, 7041.48
"BI01", 4429.21, 6714.85
"CR01", 4408.9, 6800.0
"JC01", 4416.7, 6757.28
"AG01", 4349.27, 6932.66
"JT01", 4354.7, 6857.12
