,mean,min,max,std
AB01,-1.8574999999999997,-4.0,1.3400000000000001,2.6785714285714284
AG01,-1.2175,-3.52,0.41999999999999998,0.93545454545454554
BA01,0.099999999999999992,-0.46000000000000002,0.54000000000000004,0.77749999999999986
BA02,-0.098333333333333328,-0.62,0.31,0.82833333333333348
BC01,0.26900000000000002,-0.51000000000000001,1.0800000000000001,0.86599999999999999
BD01,-1.4574999999999998,-2.8300000000000001,0.11,1.5137499999999999
BF01,0.255,-1.73,1.29,1.048888888888889
BI02,0.060833333333333385,-1.2,0.97999999999999998,0.70500000000000007
BI01,-0.074166666666666672,-1.52,1.1299999999999999,0.57583333333333331
BM01,-0.58833333333333326,-1.1399999999999999,0.37,0.96416666666666673
BM02,-0.60166666666666657,-1.8600000000000001,0.51000000000000001,0.92666666666666675
BN01,-0.47500000000000003,-1.1200000000000001,-0.070000000000000007,0.97333333333333327
BS02,-1.4550000000000001,-3.6600000000000001,0.42999999999999999,1.0512500000000002
CJ01,-0.5228571428571428,-1.78,0.45000000000000001,0.58285714285714285
CP01,0.18636363636363634,-0.96999999999999997,1.0,0.68399999999999994
DC01,-0.51222222222222225,-1.3700000000000001,0.47999999999999998,0.65111111111111108
DJ01,-0.44583333333333336,-1.1000000000000001,0.28000000000000003,0.79249999999999998
DK01,-1.3985714285714284,-2.1499999999999999,0.0,1.1483333333333332
DMF1,-0.19583333333333339,-1.3100000000000001,0.75,1.1616666666666664
ET01,-1.3699999999999999,-4.0700000000000003,0.31,0.94083333333333341
GS01,0.08249999999999999,-0.56000000000000005,0.46999999999999997,0.80999999999999994
JA01,-2.041666666666667,-3.1600000000000001,0.0,1.5266666666666666
JC01,0.060000000000000005,-0.79000000000000004,0.54000000000000004,0.77222222222222214
JS06,-0.30583333333333335,-0.78000000000000003,0.55000000000000004,0.59083333333333343
JT04,-0.0066666666666666541,-0.98999999999999999,0.62,0.6775000000000001
KO01,-0.5033333333333333,-1.52,0.26000000000000001,1.1700000000000002
MF02,-0.39222222222222214,-1.1799999999999999,0.42999999999999999,0.76444444444444448
MM01,-0.46500000000000002,-1.96,0.93000000000000005,1.0441666666666667
MW01,0.0037500000000000207,-0.40999999999999998,0.54000000000000004,0.66000000000000014
NL01,0.1466666666666667,-0.42999999999999999,0.52000000000000002,0.73666666666666669
PF01,-0.40125,-0.82999999999999996,0.0,0.7583333333333333
PM02,-0.19124999999999998,-2.8399999999999999,0.69999999999999996,1.3733333333333333
PM03,-0.46875,-4.25,1.05,1.5674999999999999
PW01,-0.70428571428571429,-1.1799999999999999,0.040000000000000001,1.3966666666666667
RA01,0.18874999999999997,-1.0,2.3100000000000001,0.67285714285714282
RM02,-0.34666666666666668,-1.24,0.55000000000000004,0.9622222222222222
RM04,-0.93111111111111122,-1.7,0.38,0.90874999999999995
SJ01,0.189,-1.1899999999999999,1.1799999999999999,0.85111111111111115
TA14,2.1311111111111112,0.0,3.29,0.8899999999999999
TA15,2.6333333333333333,1.7,3.7400000000000002,0.69999999999999984
TS01,-0.29333333333333339,-1.3700000000000001,2.2400000000000002,1.3736363636363635
