,depth,temp
2003-01-01-00-34,50.0,6.1299999999999999
2003-01-01-01-34,50.0,6.1500000000000004
2003-01-01-02-34,50.0,6.3200000000000003
2003-01-01-03-34,50.0,6.3399999999999999
2003-01-01-04-34,50.0,6.3099999999999996
2003-01-01-05-34,50.0,6.3799999999999999
2003-01-01-06-34,50.0,6.3200000000000003
2003-01-01-07-34,50.0,6.2599999999999998
2003-01-01-08-34,50.0,6.1699999999999999
2003-01-01-09-34,50.0,6.1699999999999999
2003-01-01-10-34,50.0,6.2000000000000002
2003-01-01-11-34,50.0,6.0199999999999996
2003-01-01-12-34,50.0,6.04
2003-01-01-13-34,50.0,6.29
2003-01-01-14-34,50.0,6.3099999999999996
2003-01-01-15-34,50.0,6.3300000000000001
2003-01-01-16-34,50.0,6.3600000000000003
2003-01-01-17-34,50.0,6.29
2003-01-01-18-34,50.0,6.2999999999999998
2003-01-01-19-34,50.0,6.3300000000000001
2003-01-01-20-34,50.0,6.3099999999999996
2003-01-01-21-34,50.0,6.3300000000000001
2003-01-01-22-34,50.0,6.2599999999999998
2003-01-01-23-34,50.0,6.2800000000000002
2003-01-02-00-34,50.0,6.2400000000000002
2003-01-02-01-34,50.0,6.25
2003-01-02-02-34,50.0,6.3099999999999996
2003-01-02-03-34,50.0,6.3600000000000003
2003-01-02-04-34,50.0,6.3399999999999999
2003-01-02-05-34,50.0,6.2699999999999996
2003-01-02-06-34,50.0,6.3899999999999997
2003-01-02-07-34,50.0,6.3600000000000003
2003-01-02-08-34,50.0,6.29
2003-01-02-09-34,50.0,6.2699999999999996
2003-01-02-10-34,50.0,5.9299999999999997
2003-01-02-11-34,50.0,5.9699999999999998
2003-01-02-12-34,50.0,6.0499999999999998
2003-01-02-13-34,50.0,6.0999999999999996
2003-01-02-14-34,50.0,5.9299999999999997
2003-01-02-15-34,50.0,5.9299999999999997
2003-01-02-16-34,50.0,6.04
2003-01-02-17-34,50.0,6.0899999999999999
2003-01-02-18-34,50.0,6.0999999999999996
2003-01-02-19-34,50.0,6.1399999999999997
2003-01-02-20-34,50.0,6.1399999999999997
2003-01-02-21-34,50.0,5.9299999999999997
2003-01-02-22-34,50.0,5.9100000000000001
2003-01-02-23-34,50.0,6.04
2003-01-03-00-34,50.0,5.9199999999999999
2003-01-03-01-34,50.0,6.0199999999999996
2003-01-03-02-34,50.0,6.0199999999999996
2003-01-03-03-34,50.0,6.0199999999999996
2003-01-03-04-34,50.0,5.9800000000000004
2003-01-03-05-34,50.0,5.8899999999999997
2003-01-03-06-34,50.0,6.0199999999999996
2003-01-03-07-34,50.0,5.9400000000000004
2003-01-03-08-34,50.0,6.0199999999999996
2003-01-03-09-34,50.0,6.1600000000000001
2003-01-03-10-34,50.0,6.1299999999999999
2003-01-03-11-34,50.0,6.0999999999999996
2003-01-03-12-34,50.0,5.9800000000000004
2003-01-03-13-34,50.0,6.0199999999999996
2003-01-03-14-34,50.0,6.0099999999999998
2003-01-03-15-34,50.0,5.9800000000000004
2003-01-03-16-34,50.0,5.96
2003-01-03-17-34,50.0,5.7300000000000004
2003-01-03-18-34,50.0,5.71
2003-01-03-19-34,50.0,5.6299999999999999
2003-01-03-20-34,50.0,5.54
2003-01-03-21-34,50.0,5.5599999999999996
2003-01-03-22-34,50.0,5.5700000000000003
2003-01-03-23-34,50.0,5.5499999999999998
2003-01-04-00-34,50.0,5.54
2003-01-04-01-34,50.0,5.5300000000000002
2003-01-04-02-34,50.0,5.54
2003-01-04-03-34,50.0,5.54
2003-01-04-04-34,50.0,5.54
2003-01-04-05-34,50.0,5.5300000000000002
2003-01-04-06-34,50.0,5.5300000000000002
2003-01-04-07-34,50.0,5.5099999999999998
2003-01-04-08-34,50.0,5.4699999999999998
2003-01-04-09-34,50.0,5.4299999999999997
2003-01-04-10-34,50.0,5.4199999999999999
2003-01-04-11-34,50.0,5.4199999999999999
2003-01-04-12-34,50.0,5.4100000000000001
2003-01-04-13-34,50.0,5.4199999999999999
2003-01-04-14-34,50.0,5.4500000000000002
2003-01-04-15-34,50.0,5.4900000000000002
2003-01-04-16-34,50.0,5.5099999999999998
2003-01-04-17-34,50.0,5.5700000000000003
2003-01-04-18-34,50.0,5.6100000000000003
2003-01-04-19-34,50.0,5.5800000000000001
